Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile
Import mscorlib+FSharp.Core,20-18-30.8730,20-18-31.1701,000.2972,00-d6bb294f229d3a864e805e6c984cc539-c66e675b2eabdc59-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Parse inputs,20-18-31.1731,20-18-31.2299,000.0569,00-d6bb294f229d3a864e805e6c984cc539-a2f50f4b31efba08-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Import non-system references,20-18-31.2300,20-18-31.2304,000.0004,00-d6bb294f229d3a864e805e6c984cc539-fe61bb772abac470-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
CheckDeclarations.CheckOneImplFile,20-18-31.2536,20-18-31.3790,000.1254,00-d6bb294f229d3a864e805e6c984cc539-cf6711d7674ce975-00,00-d6bb294f229d3a864e805e6c984cc539-b10d72b2b69e50fe-00,d6bb294f229d3a864e805e6c984cc539,"C:\Users\wille\source\repos\bomLite\obj\Debug\.NETCoreApp,Version=v7.0.AssemblyAttributes.fs",,".NETCoreApp,Version=v7.0.AssemblyAttributes",,,,,,,,,
ParseAndCheckInputs.CheckOneInput,20-18-31.2514,20-18-31.3793,000.1279,00-d6bb294f229d3a864e805e6c984cc539-b10d72b2b69e50fe-00,00-d6bb294f229d3a864e805e6c984cc539-a4c46fe0bcc56f7e-00,d6bb294f229d3a864e805e6c984cc539,"C:\Users\wille\source\repos\bomLite\obj\Debug\.NETCoreApp,Version=v7.0.AssemblyAttributes.fs",,,,,,,,,,,
CheckDeclarations.CheckOneImplFile,20-18-31.3796,20-18-31.4053,000.0256,00-d6bb294f229d3a864e805e6c984cc539-7c9d105cce1f8865-00,00-d6bb294f229d3a864e805e6c984cc539-b13acb7bcbcade45-00,d6bb294f229d3a864e805e6c984cc539,C:\Users\wille\source\repos\bomLite\obj\Debug\bomLite.AssemblyInfo.fs,,bomLite.AssemblyInfo,,,,,,,,,
ParseAndCheckInputs.CheckOneInput,20-18-31.3795,20-18-31.4054,000.0259,00-d6bb294f229d3a864e805e6c984cc539-b13acb7bcbcade45-00,00-d6bb294f229d3a864e805e6c984cc539-a4c46fe0bcc56f7e-00,d6bb294f229d3a864e805e6c984cc539,C:\Users\wille\source\repos\bomLite\obj\Debug\bomLite.AssemblyInfo.fs,,,,,,,,,,,
CheckDeclarations.CheckOneImplFile,20-18-31.4054,20-18-31.4421,000.0366,00-d6bb294f229d3a864e805e6c984cc539-3c5955781faf97f6-00,00-d6bb294f229d3a864e805e6c984cc539-a9b63fa930fbfd88-00,d6bb294f229d3a864e805e6c984cc539,C:\Users\wille\source\repos\bomLite\Program.fs,,Program,,,,,,,,,
ParseAndCheckInputs.CheckOneInput,20-18-31.4054,20-18-31.4422,000.0368,00-d6bb294f229d3a864e805e6c984cc539-a9b63fa930fbfd88-00,00-d6bb294f229d3a864e805e6c984cc539-a4c46fe0bcc56f7e-00,d6bb294f229d3a864e805e6c984cc539,C:\Users\wille\source\repos\bomLite\Program.fs,,,,,,,,,,,
Typecheck,20-18-31.2304,20-18-31.4429,000.2125,00-d6bb294f229d3a864e805e6c984cc539-a4c46fe0bcc56f7e-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Typechecked,20-18-31.4429,20-18-31.4431,000.0003,00-d6bb294f229d3a864e805e6c984cc539-cb8cc479501bf3e5-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Write Interface File,20-18-31.4432,20-18-31.4432,000.0000,00-d6bb294f229d3a864e805e6c984cc539-82d106954754f052-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Write XML doc signatures,20-18-31.4432,20-18-31.4432,000.0000,00-d6bb294f229d3a864e805e6c984cc539-928f9136b3effd12-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Write XML docs,20-18-31.4432,20-18-31.4433,000.0001,00-d6bb294f229d3a864e805e6c984cc539-0f98c05625914337-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Encode Interface Data,20-18-31.4433,20-18-31.4846,000.0413,00-d6bb294f229d3a864e805e6c984cc539-0fa81d337e6af5c6-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Optimizations,20-18-31.4846,20-18-31.5062,000.0215,00-d6bb294f229d3a864e805e6c984cc539-19856ddbc0f43b94-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Ending Optimizations,20-18-31.5062,20-18-31.5062,000.0000,00-d6bb294f229d3a864e805e6c984cc539-4832e59763d96177-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Encoding OptData,20-18-31.5062,20-18-31.5080,000.0018,00-d6bb294f229d3a864e805e6c984cc539-1462c1e8d9484d96-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
TAST -> IL,20-18-31.5080,20-18-31.5613,000.0532,00-d6bb294f229d3a864e805e6c984cc539-ce9b703277569698-00,00-d6bb294f229d3a864e805e6c984cc539-2287bc7c4eee3491-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Write Started,20-18-31.5635,20-18-31.5680,000.0045,00-d6bb294f229d3a864e805e6c984cc539-1e8b724850707743-00,00-d6bb294f229d3a864e805e6c984cc539-aa49762a56bf42a9-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
Module Generation Preparation,20-18-31.5680,20-18-31.5680,000.0000,00-d6bb294f229d3a864e805e6c984cc539-ed3c6091f0961375-00,00-d6bb294f229d3a864e805e6c984cc539-aa49762a56bf42a9-00,d6bb294f229d3a864e805e6c984cc539,,,,,,,,,,,,
